peak_name,height_metres,climbed,first_ascent_year,first_ascent_country,first_ascent_expedition_id
Tongu,6187,TRUE,1959,USA,TONG59301
Tripura Hiunchuli,6553,TRUE,1986,"Japan, Nepal",TRIP86301
Tso Karpo Kang,6556,TRUE,1971,Japan,TSOK71301
Tukuche,6920,TRUE,1970,Japan,TUKU70101
Urkinmang,6143,TRUE,1964,"Japan, Nepal",URKM64101
Anidesh Chuli,6808,FALSE,NA,NA,NA
Tsaurabong Peak,6395,TRUE,1974,"Japan, Nepal",TSUR74101
Yalung Kang,8505,TRUE,1973,Japan,YALU73101
Pasang Lhamu Chuli,7350,TRUE,1986,Japan,PASA86301
Ratna Chuli,7035,TRUE,1996,"Japan, Nepal",RATC96301
Kanti Himal,6850,TRUE,2002,"Japan, Nepal",KANT02301
Ramtang,6601,TRUE,1930,"Austria, UK",RAMT30101
Lingtren,6713,TRUE,1935,UK,LING35201
Tengkoma,6215,TRUE,1949,"Switzerland, Nepal",TENG49101
Ramtang Chang,6802,TRUE,1974,Yugoslavia,RAMC74301
Churen Himal East,7371,TRUE,1970,"S Korea, Nepal",CHRE70101
Churen Himal West,7371,TRUE,1970,"Japan, Nepal",CHRW70301
Chhukung Ri,5550,TRUE,1965,Netherlands,CHRI65101
Kangtokal,6294,TRUE,1962,"Japan, Nepal",KTOK62101
Serku Dolma,6227,TRUE,1973,"Japan, Nepal",SRKU73301
Nalakankar South,6024,TRUE,2000,"Japan, Nepal",NALS00201
Changwathang,6130,TRUE,2000,"Japan, Nepal",CHWT00201
Takphu Himal,6395,TRUE,2018,"UK, Germany",TAKP18301
Malanphulan,6573,TRUE,2000,USA,MALA00101
Lhotse Middle,8410,TRUE,2001,Russia,LHOM01101
Simnang Himal,6251,TRUE,2001,Ukraine,SIMN01101
Hungchhi,7029,TRUE,2003,"Japan, Nepal",HCHI03102
Lampo,6648,FALSE,NA,NA,NA
Chhukung Tse,5833,TRUE,1953,"UK, Nepal",CHUK53101
Dzanye,6581,TRUE,1949,Switzerland,DZAN49101
Gaugiri,6110,TRUE,2002,USA,GAUG02101
Tengkangpoche,6482,TRUE,1984,"UK, USA",TKPO84301
Arniko Chuli,6034,TRUE,2002,"Japan, Nepal",ARNK02201
Saribung,6328,TRUE,2003,USA,SARI03301
Ghenge Liru,6596,TRUE,1963,"UK, Nepal",GHEN63101
Naulekh,6340,TRUE,1954,New Zealand,NAUL54101
